species name,status,,,,,,,,,,,,,,,,,,,,,,,
Carex basiantha,native,,,,,,,,,,,,,,,,,,,,,,,
Carex bebbii,native,,,,,,,,,,,,,,,,,,,,,,,
Carex bella,native,,,,,,,,,,,,,,,,,,,,,,,
Carex bicknellii,native,,,,,,,,,,,,,,,,,,,,,,,
Carex bicolor,native,,,,,,,,,,,,,,,,,,,,,,,
Carex bigelowii,native,,,,,,,,,,,,,,,,,,,,,,,
Carex billingsii,native,,,,,,,,,,,,,,,,,,,,,,,
Carex biltmoreana,native,,,,,,,,,,,,,,,,,,,,,,,
Carex blanda,native,,,,,,,,,,,,,,,,,,,,,,,
Carex bolanderi,native,,,,,,,,,,,,,,,,,,,,,,,
Carex bonanzensis,native,,,,,,,,,,,,,,,,,,,,,,,
Carex brainerdii,native,,,,,,,,,,,,,,,,,,,,,,,
Carex brevicaulis,native,,,,,,,,,,,,,,,,,,,,,,,
Carex brevior,native,,,,,,,,,,,,,,,,,,,,,,,
Carex breweri,native,,,,,,,,,,,,,,,,,,,,,,,
Carex bromoides,native,,,,,,,,,,,,,,,,,,,,,,,
Carex bromoides ssp. bromoides,native,,,,,,,,,,,,,,,,,,,,,,,
Carex bromoides ssp. montana,native,,,,,,,,,,,,,,,,,,,,,,,
Carex brunnescens,native,,,,,,,,,,,,,,,,,,,,,,,
Carex brunnescens ssp. brunnescens,native,,,,,,,,,,,,,,,,,,,,,,,
Carex brunnescens ssp. pacifica,native,,,,,,,,,,,,,,,,,,,,,,,
Carex brunnescens ssp. sphaerostachya,native,,,,,,,,,,,,,,,,,,,,,,,
Carex brysonii,native,,,,,,,,,,,,,,,,,,,,,,,
Carex bulbostylis,native,,,,,,,,,,,,,,,,,,,,,,,
Carex bullata,native,,,,,,,,,,,,,,,,,,,,,,,
Carex bushii,native,,,,,,,,,,,,,,,,,,,,,,,
Carex buxbaumii,native,,,,,,,,,,,,,,,,,,,,,,,
Carex caesariensis,native,,,,,,,,,,,,,,,,,,,,,,,
Carex calcifugens,native,,,,,,,,,,,,,,,,,,,,,,,
Carex californica,native,,,,,,,,,,,,,,,,,,,,,,,
Carex canescens,native,,,,,,,,,,,,,,,,,,,,,,,
Carex canescens ssp. canescens,native,,,,,,,,,,,,,,,,,,,,,,,
Carex canescens ssp. disjuncta,native,,,,,,,,,,,,,,,,,,,,,,,
Carex capillaris,native,,,,,,,,,,,,,,,,,,,,,,,
Carex capitata,native,,,,,,,,,,,,,,,,,,,,,,,
Carex capitata ssp. arctogena,native,,,,,,,,,,,,,,,,,,,,,,,
Carex capitata ssp. capitata,native,,,,,,,,,,,,,,,,,,,,,,,
Carex careyana,native,,,,,,,,,,,,,,,,,,,,,,,
Carex caroliniana,native,,,,,,,,,,,,,,,,,,,,,,,
Carex castanea,native,,,,,,,,,,,,,,,,,,,,,,,
Carex cayouettei,native,,,,,,,,,,,,,,,,,,,,,,,
Carex cephaloidea,native,,,,,,,,,,,,,,,,,,,,,,,
Carex cephalophora,native,,,,,,,,,,,,,,,,,,,,,,,
Carex chapmanii,native,,,,,,,,,,,,,,,,,,,,,,,
Carex cherokeensis,native,,,,,,,,,,,,,,,,,,,,,,,
Carex chihuahuensis,native,,,,,,,,,,,,,,,,,,,,,,,
Carex chordorrhiza,native,,,,,,,,,,,,,,,,,,,,,,,
Carex circinata,native,,,,,,,,,,,,,,,,,,,,,,,
Carex clausa,native,,,,,,,,,,,,,,,,,,,,,,,
Carex collinsii,native,,,,,,,,,,,,,,,,,,,,,,,
Carex communis,native,,,,,,,,,,,,,,,,,,,,,,,
Carex communis var. amplisquama,native,,,,,,,,,,,,,,,,,,,,,,,
Carex communis var. communis,native,,,,,,,,,,,,,,,,,,,,,,,
Carex comosa,native,,,,,,,,,,,,,,,,,,,,,,,
Carex complanata,native,,,,,,,,,,,,,,,,,,,,,,,
Carex concinna,native,,,,,,,,,,,,,,,,,,,,,,,
Carex concinnoides,native,,,,,,,,,,,,,,,,,,,,,,,
Carex congdonii,native,,,,,,,,,,,,,,,,,,,,,,,
Carex conjuncta,native,,,,,,,,,,,,,,,,,,,,,,,
Carex connectens,native,,,,,,,,,,,,,,,,,,,,,,,
Carex conoidea,native,,,,,,,,,,,,,,,,,,,,,,,
Carex constanceana,native,,,,,,,,,,,,,,,,,,,,,,,
Carex cordillerana,native,,,,,,,,,,,,,,,,,,,,,,,
Carex corrugata,native,,,,,,,,,,,,,,,,,,,,,,,
Carex crawei,native,,,,,,,,,,,,,,,,,,,,,,,
Carex crawfordii,native,,,,,,,,,,,,,,,,,,,,,,,
Carex crebriflora,native,,,,,,,,,,,,,,,,,,,,,,,
Carex crinita,native,,,,,,,,,,,,,,,,,,,,,,,
Carex crinita var. brevicrinis,native,,,,,,,,,,,,,,,,,,,,,,,
Carex crinita var. crinita,native,,,,,,,,,,,,,,,,,,,,,,,
Carex crinita var. porteri,native,,,,,,,,,,,,,,,,,,,,,,,
Carex crinitoides,native,,,,,,,,,,,,,,,,,,,,,,,
Carex cristatella,native,,,,,,,,,,,,,,,,,,,,,,,
Carex crus-corvi,native,,,,,,,,,,,,,,,,,,,,,,,
Carex cryptolepis,native,,,,,,,,,,,,,,,,,,,,,,,
Carex cumberlandensis,native,,,,,,,,,,,,,,,,,,,,,,,
Carex cumulata,native,,,,,,,,,,,,,,,,,,,,,,,
Carex curatorum,native,,,,,,,,,,,,,,,,,,,,,,,
Carex cusickii,native,,,,,,,,,,,,,,,,,,,,,,,
Carex cyrtostachya,native,,,,,,,,,,,,,,,,,,,,,,,
Carex dasycarpa,native,,,,,,,,,,,,,,,,,,,,,,,
Carex davisii,native,,,,,,,,,,,,,,,,,,,,,,,
Carex davyi,native,,,,,,,,,,,,,,,,,,,,,,,
Carex deamii,native,,,,,,,,,,,,,,,,,,,,,,,
Carex debilis,native,,,,,,,,,,,,,,,,,,,,,,,
Carex debilis var. debilis,native,,,,,,,,,,,,,,,,,,,,,,,
Carex debilis var. intercursa,native,,,,,,,,,,,,,,,,,,,,,,,
Carex debilis var. interjecta,native,,,,,,,,,,,,,,,,,,,,,,,
Carex debilis var. pubera,native,,,,,,,,,,,,,,,,,,,,,,,
Carex debilis var. rudgei,native,,,,,,,,,,,,,,,,,,,,,,,
Carex debilis var. strictior,native,,,,,,,,,,,,,,,,,,,,,,,
Carex decomposita,native,,,,,,,,,,,,,,,,,,,,,,,
Carex deflexa,native,,,,,,,,,,,,,,,,,,,,,,,
Carex densa,native,,,,,,,,,,,,,,,,,,,,,,,
Carex deweyana,native,,,,,,,,,,,,,,,,,,,,,,,
Carex deweyana var. collectanea,native,,,,,,,,,,,,,,,,,,,,,,,
Carex deweyana var. deweyana,native,,,,,,,,,,,,,,,,,,,,,,,
Carex diandra,native,,,,,,,,,,,,,,,,,,,,,,,
Carex digitalis,native,,,,,,,,,,,,,,,,,,,,,,,
Carex digitalis var. digitalis,native,,,,,,,,,,,,,,,,,,,,,,,
Carex digitalis var. floridana,native,,,,,,,,,,,,,,,,,,,,,,,
Carex digitalis var. macropoda,native,,,,,,,,,,,,,,,,,,,,,,,
Carex disperma,native,,,,,,,,,,,,,,,,,,,,,,,
Carex douglasii,native,,,,,,,,,,,,,,,,,,,,,,,
Carex dudleyi,native,,,,,,,,,,,,,,,,,,,,,,,
Carex dumanii,native,,,,,,,,,,,,,,,,,,,,,,,
Carex duriuscula,native,,,,,,,,,,,,,,,,,,,,,,,
Carex ebenea,native,,,,,,,,,,,,,,,,,,,,,,,
Carex eburnea,native,,,,,,,,,,,,,,,,,,,,,,,
Carex echinata,native,,,,,,,,,,,,,,,,,,,,,,,
Carex echinata ssp. echinata,native,,,,,,,,,,,,,,,,,,,,,,,
Carex echinata ssp. phyllomanica,native,,,,,,,,,,,,,,,,,,,,,,,
Carex edwardsiana,native,,,,,,,,,,,,,,,,,,,,,,,
Carex egglestonii,native,,,,,,,,,,,,,,,,,,,,,,,
Carex eleusinoides,native,,,,,,,,,,,,,,,,,,,,,,,
Carex elliottii,native,,,,,,,,,,,,,,,,,,,,,,,
Carex elynoides,native,,,,,,,,,,,,,,,,,,,,,,,
Carex emoryi,native,,,,,,,,,,,,,,,,,,,,,,,
Carex engelmannii,native,,,,,,,,,,,,,,,,,,,,,,,
Carex exilis,native,,,,,,,,,,,,,,,,,,,,,,,
Carex exsalina,native,,,,,,,,,,,,,,,,,,,,,,,
Carex exserta,native,,,,,,,,,,,,,,,,,,,,,,,
Carex exsiccata,native,,,,,,,,,,,,,,,,,,,,,,,
Carex festucacea,native,,,,,,,,,,,,,,,,,,,,,,,
Carex feta,native,,,,,,,,,,,,,,,,,,,,,,,
Carex filifolia,native,,,,,,,,,,,,,,,,,,,,,,,
Carex firmior,native,,,,,,,,,,,,,,,,,,,,,,,
Carex fissa,native,,,,,,,,,,,,,,,,,,,,,,,
Carex fissa var. aristata,native,,,,,,,,,,,,,,,,,,,,,,,
Carex fissa var. fissa,native,,,,,,,,,,,,,,,,,,,,,,,
Carex fissuricola,native,,,,,,,,,,,,,,,,,,,,,,,
Carex flaccosperma,native,,,,,,,,,,,,,,,,,,,,,,,
Carex flava,native,,,,,,,,,,,,,,,,,,,,,,,
Carex flavicans,native,,,,,,,,,,,,,,,,,,,,,,,
Carex floridana,native,,,,,,,,,,,,,,,,,,,,,,,
Carex folliculata,native,,,,,,,,,,,,,,,,,,,,,,,
Carex formosa,native,,,,,,,,,,,,,,,,,,,,,,,
Carex fracta,native,,,,,,,,,,,,,,,,,,,,,,,
Carex frankii,native,,,,,,,,,,,,,,,,,,,,,,,
Carex fulva,native,,,,,,,,,,,,,,,,,,,,,,,
Carex garberi,native,,,,,,,,,,,,,,,,,,,,,,,
Carex geophila,native,,,,,,,,,,,,,,,,,,,,,,,
Carex geyeri,native,,,,,,,,,,,,,,,,,,,,,,,
Carex gholsonii,native,,,,,,,,,,,,,,,,,,,,,,,
Carex gigantea,native,,,,,,,,,,,,,,,,,,,,,,,
Carex glacialis,native,,,,,,,,,,,,,,,,,,,,,,,
Carex glareosa,native,,,,,,,,,,,,,,,,,,,,,,,
Carex glareosa ssp. glareosa,native,,,,,,,,,,,,,,,,,,,,,,,
Carex glaucescens,native,,,,,,,,,,,,,,,,,,,,,,,
Carex glaucodea,native,,,,,,,,,,,,,,,,,,,,,,,
Carex globosa,native,,,,,,,,,,,,,,,,,,,,,,,
Carex gmelinii,native,,,,,,,,,,,,,,,,,,,,,,,
Carex godfreyi,native,,,,,,,,,,,,,,,,,,,,,,,
Carex gracilescens,native,,,,,,,,,,,,,,,,,,,,,,,
Carex gracilior,native,,,,,,,,,,,,,,,,,,,,,,,
Carex gracillima,native,,,,,,,,,,,,,,,,,,,,,,,
Carex grantii,native,,,,,,,,,,,,,,,,,,,,,,,
Carex granularis,native,,,,,,,,,,,,,,,,,,,,,,,
Carex gravida,native,,,,,,,,,,,,,,,,,,,,,,,
Carex gravida var. gravida,native,,,,,,,,,,,,,,,,,,,,,,,
Carex gravida var. lunelliana,native,,,,,,,,,,,,,,,,,,,,,,,
Carex grayi,native,,,,,,,,,,,,,,,,,,,,,,,
Carex grayi × intumescens,native,,,,,,,,,,,,,,,,,,,,,,,
Carex grisea,native,,,,,,,,,,,,,,,,,,,,,,,
Carex gynandra,native,,,,,,,,,,,,,,,,,,,,,,,
Carex gynocrates,native,,,,,,,,,,,,,,,,,,,,,,,
Carex gynodynama,native,,,,,,,,,,,,,,,,,,,,,,,
Carex gynodynama × mendocinensis,native,,,,,,,,,,,,,,,,,,,,,,,
Carex halliana,native,,,,,,,,,,,,,,,,,,,,,,,
Carex hallii,native,,,,,,,,,,,,,,,,,,,,,,,
Carex harfordii,native,,,,,,,,,,,,,,,,,,,,,,,
Carex hartii,native,,,,,,,,,,,,,,,,,,,,,,,
Carex hassei,native,,,,,,,,,,,,,,,,,,,,,,,
Carex haydeniana,native,,,,,,,,,,,,,,,,,,,,,,,
Carex haydenii,native,,,,,,,,,,,,,,,,,,,,,,,
Carex heleonastes,native,,,,,,,,,,,,,,,,,,,,,,,
Carex heleonastes ssp. heleonastes,native,,,,,,,,,,,,,,,,,,,,,,,
Carex heleonastes ssp. neurochlaena,native,,,,,,,,,,,,,,,,,,,,,,,
Carex helleri,native,,,,,,,,,,,,,,,,,,,,,,,
Carex helvola,native,,,,,,,,,,,,,,,,,,,,,,,
Carex hendersonii,native,,,,,,,,,,,,,,,,,,,,,,,
Carex heteroneura,native,,,,,,,,,,,,,,,,,,,,,,,
Carex heteroneura var. brevisquama,native,,,,,,,,,,,,,,,,,,,,,,,
Carex heteroneura var. chalciolepis,native,,,,,,,,,,,,,,,,,,,,,,,
Carex heteroneura var. epapillosa,native,,,,,,,,,,,,,,,,,,,,,,,
Carex heteroneura var. heteroneura,native,,,,,,,,,,,,,,,,,,,,,,,
Carex hirsutella,native,,,,,,,,,,,,,,,,,,,,,,,
Carex hirtifolia,native,,,,,,,,,,,,,,,,,,,,,,,
Carex hirtissima,native,,,,,,,,,,,,,,,,,,,,,,,
Carex hitchcockiana,native,,,,,,,,,,,,,,,,,,,,,,,
Carex holostoma,native,,,,,,,,,,,,,,,,,,,,,,,
Carex hoodii,native,,,,,,,,,,,,,,,,,,,,,,,
Carex hookeriana,native,,,,,,,,,,,,,,,,,,,,,,,
Carex hormathodes,native,,,,,,,,,,,,,,,,,,,,,,,
Carex hostiana,native,,,,,,,,,,,,,,,,,,,,,,,
Carex houghtoniana,native,,,,,,,,,,,,,,,,,,,,,,,
Carex hyalina,native,,,,,,,,,,,,,,,,,,,,,,,
Carex hyalinolepis,native,,,,,,,,,,,,,,,,,,,,,,,
Carex hystericina,native,,,,,,,,,,,,,,,,,,,,,,,
Carex idahoa,native,,,,,,,,,,,,,,,,,,,,,,,
Carex illota,native,,,,,,,,,,,,,,,,,,,,,,,
Carex impressinervia,native,,,,,,,,,,,,,,,,,,,,,,,
Carex incurviformis,native,,,,,,,,,,,,,,,,,,,,,,,
Carex incurviformis var. danaensis,native,,,,,,,,,,,,,,,,,,,,,,,
Carex incurviformis var. incurviformis,native,,,,,,,,,,,,,,,,,,,,,,,
Carex infirminervia,native,,,,,,,,,,,,,,,,,,,,,,,
Carex inops,native,,,,,,,,,,,,,,,,,,,,,,,
Carex inops ssp. heliophila,native,,,,,,,,,,,,,,,,,,,,,,,
Carex inops ssp. inops,native,,,,,,,,,,,,,,,,,,,,,,,
Carex integra,native,,,,,,,,,,,,,,,,,,,,,,,
Carex interior,native,,,,,,,,,,,,,,,,,,,,,,,
Carex interrupta,native,,,,,,,,,,,,,,,,,,,,,,,
Carex intumescens,native,,,,,,,,,,,,,,,,,,,,,,,
Carex jamesii,native,,,,,,,,,,,,,,,,,,,,,,,
Carex jonesii,native,,,,,,,,,,,,,,,,,,,,,,,
Carex joorii,native,,,,,,,,,,,,,,,,,,,,,,,
Carex juniperorum,native,,,,,,,,,,,,,,,,,,,,,,,
Carex klamathensis,native,,,,,,,,,,,,,,,,,,,,,,,
Carex knieskernii,native,,,,,,,,,,,,,,,,,,,,,,,
Carex kraliana,native,,,,,,,,,,,,,,,,,,,,,,,
Carex krausei,native,,,,,,,,,,,,,,,,,,,,,,,
Carex kyyhkynenii,native,,,,,,,,,,,,,,,,,,,,,,,
Carex lachenalii,native,,,,,,,,,,,,,,,,,,,,,,,
Carex lacustris,native,,,,,,,,,,,,,,,,,,,,,,,
Carex laeviconica,native,,,,,,,,,,,,,,,,,,,,,,,
Carex laeviculmis,native,,,,,,,,,,,,,,,,,,,,,,,
Carex laevivaginata,native,,,,,,,,,,,,,,,,,,,,,,,
Carex langeana,native,,,,,,,,,,,,,,,,,,,,,,,
Carex lapponica,native,,,,,,,,,,,,,,,,,,,,,,,
Carex lasiocarpa,native,,,,,,,,,,,,,,,,,,,,,,,
Carex lasiocarpa var. americana,native,,,,,,,,,,,,,,,,,,,,,,,
Carex latebracteata,native,,,,,,,,,,,,,,,,,,,,,,,
Carex lativena,native,,,,,,,,,,,,,,,,,,,,,,,
Carex laxa,native,,,,,,,,,,,,,,,,,,,,,,,
Carex laxiculmis,native,,,,,,,,,,,,,,,,,,,,,,,
Carex laxiculmis var. copulata,native,,,,,,,,,,,,,,,,,,,,,,,
Carex laxiculmis var. laxiculmis,native,,,,,,,,,,,,,,,,,,,,,,,
Carex laxiflora,native,,,,,,,,,,,,,,,,,,,,,,,
Carex laxiflora var. laxiflora,native,,,,,,,,,,,,,,,,,,,,,,,
Carex laxiflora var. serrulata,native,,,,,,,,,,,,,,,,,,,,,,,
Carex leavenworthii,native,,,,,,,,,,,,,,,,,,,,,,,
Carex lemmonii,native,,,,,,,,,,,,,,,,,,,,,,,
Carex lenticularis,native,,,,,,,,,,,,,,,,,,,,,,,
Carex lenticularis var. dolia,native,,,,,,,,,,,,,,,,,,,,,,,
Carex lenticularis var. impressa,native,,,,,,,,,,,,,,,,,,,,,,,
Carex lenticularis var. lenticularis,native,,,,,,,,,,,,,,,,,,,,,,,
Carex lenticularis var. limnophila,native,,,,,,,,,,,,,,,,,,,,,,,
Carex lenticularis var. lipocarpa,native,,,,,,,,,,,,,,,,,,,,,,,
Carex leporinella,native,,,,,,,,,,,,,,,,,,,,,,,
Carex leptalea,native,,,,,,,,,,,,,,,,,,,,,,,
Carex leptalea ssp. harperi,native,,,,,,,,,,,,,,,,,,,,,,,
Carex leptalea ssp. leptalea,native,,,,,,,,,,,,,,,,,,,,,,,
Carex leptalea ssp. pacifica,native,,,,,,,,,,,,,,,,,,,,,,,
Carex leptonervia,native,,,,,,,,,,,,,,,,,,,,,,,
Carex leptopoda,native,,,,,,,,,,,,,,,,,,,,,,,
Carex leucodonta,native,,,,,,,,,,,,,,,,,,,,,,,
Carex limosa,native,,,,,,,,,,,,,,,,,,,,,,,
Carex limosoides,native,,,,,,,,,,,,,,,,,,,,,,,
Carex limula,native,,,,,,,,,,,,,,,,,,,,,,,
Carex livida,native,,,,,,,,,,,,,,,,,,,,,,,
Carex livida var. radicaulis,native,,,,,,,,,,,,,,,,,,,,,,,
Carex loliacea,native,,,,,,,,,,,,,,,,,,,,,,,
Carex lonchocarpa,native,,,,,,,,,,,,,,,,,,,,,,,
Carex longii,native,,,,,,,,,,,,,,,,,,,,,,,
Carex louisianica,native,,,,,,,,,,,,,,,,,,,,,,,
Carex lucorum,native,,,,,,,,,,,,,,,,,,,,,,,
Carex lucorum var. austrolucorum,native,,,,,,,,,,,,,,,,,,,,,,,
Carex lucorum var. lucorum,native,,,,,,,,,,,,,,,,,,,,,,,
Carex lugens,native,,,,,,,,,,,,,,,,,,,,,,,
Carex lupuliformis,native,,,,,,,,,,,,,,,,,,,,,,,
Carex lupulina,native,,,,,,,,,,,,,,,,,,,,,,,
Carex lurida,native,,,,,,,,,,,,,,,,,,,,,,,
Carex lutea,native,,,,,,,,,,,,,,,,,,,,,,,
Carex luzulifolia,native,,,,,,,,,,,,,,,,,,,,,,,
Carex luzulina,native,,,,,,,,,,,,,,,,,,,,,,,
Carex luzulina var. ablata,native,,,,,,,,,,,,,,,,,,,,,,,
Carex luzulina var. atropurpurea,native,,,,,,,,,,,,,,,,,,,,,,,
Carex luzulina var. luzulina,native,,,,,,,,,,,,,,,,,,,,,,,
Carex lyngbyei,native,,,,,,,,,,,,,,,,,,,,,,,
Carex mackenziei,native,,,,,,,,,,,,,,,,,,,,,,,
Carex macloviana,native,,,,,,,,,,,,,,,,,,,,,,,
Carex macrocephala,native,,,,,,,,,,,,,,,,,,,,,,,
Carex macrocephala var. bracteata,native,,,,,,,,,,,,,,,,,,,,,,,
Carex macrocephala var. macrocephala,native,,,,,,,,,,,,,,,,,,,,,,,
Carex macrochaeta,native,,,,,,,,,,,,,,,,,,,,,,,
Carex magellanica,native,,,,,,,,,,,,,,,,,,,,,,,
Carex magellanica ssp. irrigua,native,,,,,,,,,,,,,,,,,,,,,,,
Carex manhartii,native,,,,,,,,,,,,,,,,,,,,,,,
Carex marina,native,,,,,,,,,,,,,,,,,,,,,,,
Carex marina ssp. marina,native,,,,,,,,,,,,,,,,,,,,,,,
Carex mariposana,native,,,,,,,,,,,,,,,,,,,,,,,
Carex maritima,native,,,,,,,,,,,,,,,,,,,,,,,
Carex massonii,native,,,,,,,,,,,,,,,,,,,,,,,
Carex mckittrickensis,native,,,,,,,,,,,,,,,,,,,,,,,
Carex meadii,native,,,,,,,,,,,,,,,,,,,,,,,
Carex melanostachya,native,,,,,,,,,,,,,,,,,,,,,,,
Carex membranacea,native,,,,,,,,,,,,,,,,,,,,,,,
Carex mendica,native,,,,,,,,,,,,,,,,,,,,,,,
Carex mendocinensis,native,,,,,,,,,,,,,,,,,,,,,,,
Carex merritt-fernaldii,native,,,,,,,,,,,,,,,,,,,,,,,
Carex mertensii,native,,,,,,,,,,,,,,,,,,,,,,,
Carex mesochorea,native,,,,,,,,,,,,,,,,,,,,,,,
Carex michauxiana,native,,,,,,,,,,,,,,,,,,,,,,,
Carex microchaeta,native,,,,,,,,,,,,,,,,,,,,,,,
Carex microchaeta ssp. microchaeta,native,,,,,,,,,,,,,,,,,,,,,,,
Carex microdonta,native,,,,,,,,,,,,,,,,,,,,,,,
Carex microglochin,native,,,,,,,,,,,,,,,,,,,,,,,
Carex microptera,native,,,,,,,,,,,,,,,,,,,,,,,
Carex microrhyncha,native,,,,,,,,,,,,,,,,,,,,,,,
Carex mirata,native,,,,,,,,,,,,,,,,,,,,,,,
Carex misandra,native,,,,,,,,,,,,,,,,,,,,,,,
Carex misera,native,,,,,,,,,,,,,,,,,,,,,,,
Carex missouriensis,native,,,,,,,,,,,,,,,,,,,,,,,
Carex mitchelliana,native,,,,,,,,,,,,,,,,,,,,,,,
Carex molesta,native,,,,,,,,,,,,,,,,,,,,,,,
Carex molestiformis,native,,,,,,,,,,,,,,,,,,,,,,,
Carex muehlenbergii,native,,,,,,,,,,,,,,,,,,,,,,,
Carex muehlenbergii var. enervis,native,,,,,,,,,,,,,,,,,,,,,,,
Carex muehlenbergii var. muehlenbergii,native,,,,,,,,,,,,,,,,,,,,,,,
Carex multicaulis,native,,,,,,,,,,,,,,,,,,,,,,,
Carex multicostata,native,,,,,,,,,,,,,,,,,,,,,,,
Carex muriculata,native,,,,,,,,,,,,,,,,,,,,,,,
Carex muskingumensis,native,,,,,,,,,,,,,,,,,,,,,,,
Carex nardina,native,,,,,,,,,,,,,,,,,,,,,,,
Carex nardina var. hepburnii,native,,,,,,,,,,,,,,,,,,,,,,,
Carex nebrascensis,native,,,,,,,,,,,,,,,,,,,,,,,
Carex nelsonii,native,,,,,,,,,,,,,,,,,,,,,,,
Carex neobigelowii,native,,,,,,,,,,,,,,,,,,,,,,,
Carex neofilipendula,native,,,,,,,,,,,,,,,,,,,,,,,
Carex neomiliaris,native,,,,,,,,,,,,,,,,,,,,,,,
Carex neorigida,native,,,,,,,,,,,,,,,,,,,,,,,
Carex nervina,native,,,,,,,,,,,,,,,,,,,,,,,
Carex neurophora,native,,,,,,,,,,,,,,,,,,,,,,,
Carex nigra,native,,,,,,,,,,,,,,,,,,,,,,,
Carex nigricans,native,,,,,,,,,,,,,,,,,,,,,,,
Carex nigromarginata,native,,,,,,,,,,,,,,,,,,,,,,,
Carex normalis,native,,,,,,,,,,,,,,,,,,,,,,,
Carex norvegica,native,,,,,,,,,,,,,,,,,,,,,,,
Carex norvegica ssp. inferalpina,native,,,,,,,,,,,,,,,,,,,,,,,
Carex norvegica ssp. norvegica,native,,,,,,,,,,,,,,,,,,,,,,,
Carex norvegica ssp. stevenii,native,,,,,,,,,,,,,,,,,,,,,,,
Carex nova,native,,,,,,,,,,,,,,,,,,,,,,,
Carex novae-angliae,native,,,,,,,,,,,,,,,,,,,,,,,
Carex nudata,native,,,,,,,,,,,,,,,,,,,,,,,
Carex obispoensis,native,,,,,,,,,,,,,,,,,,,,,,,
Carex obnupta,native,,,,,,,,,,,,,,,,,,,,,,,
Carex obtusata,native,,,,,,,,,,,,,,,,,,,,,,,
Carex occidentalis,native,,,,,,,,,,,,,,,,,,,,,,,
Carex oklahomensis,native,,,,,,,,,,,,,,,,,,,,,,,
Carex oligocarpa,native,,,,,,,,,,,,,,,,,,,,,,,
Carex oligosperma,native,,,,,,,,,,,,,,,,,,,,,,,
Carex oligosperma var. oligosperma,native,,,,,,,,,,,,,,,,,,,,,,,
Carex olneyi,native,,,,,,,,,,,,,,,,,,,,,,,
Carex onusta,native,,,,,,,,,,,,,,,,,,,,,,,
Carex opaca,native,,,,,,,,,,,,,,,,,,,,,,,
Carex oreocharis,native,,,,,,,,,,,,,,,,,,,,,,,
Carex orestera,native,,,,,,,,,,,,,,,,,,,,,,,
Carex ormostachya,native,,,,,,,,,,,,,,,,,,,,,,,
Carex oronensis,native,,,,,,,,,,,,,,,,,,,,,,,
Carex ouachitana,native,,,,,,,,,,,,,,,,,,,,,,,
Carex ovalis,native,,,,,,,,,,,,,,,,,,,,,,,
Carex oxylepis,native,,,,,,,,,,,,,,,,,,,,,,,
Carex oxylepis var. oxylepis,native,,,,,,,,,,,,,,,,,,,,,,,
Carex oxylepis var. pubescens,native,,,,,,,,,,,,,,,,,,,,,,,
Carex ozarkana,native,,,,,,,,,,,,,,,,,,,,,,,
Carex pachystachya,native,,,,,,,,,,,,,,,,,,,,,,,
Carex paeninsulae,native,,,,,,,,,,,,,,,,,,,,,,,
Carex paleacea,native,,,,,,,,,,,,,,,,,,,,,,,
Carex pallescens,native,,,,,,,,,,,,,,,,,,,,,,,
Carex panicea,native,,,,,,,,,,,,,,,,,,,,,,,
Carex pannewitziana,native,,,,,,,,,,,,,,,,,,,,,,,
Carex pansa,native,,,,,,,,,,,,,,,,,,,,,,,
Carex parryana,native,,,,,,,,,,,,,,,,,,,,,,,
Carex parryana var. brevisquama,native,,,,,,,,,,,,,,,,,,,,,,,
Carex parryana var. parryana,native,,,,,,,,,,,,,,,,,,,,,,,
Carex patuensis,native,,,,,,,,,,,,,,,,,,,,,,,
Carex pauciflora,native,,,,,,,,,,,,,,,,,,,,,,,
Carex paysonis,native,,,,,,,,,,,,,,,,,,,,,,,
Carex peckii,native,,,,,,,,,,,,,,,,,,,,,,,
Carex pedunculata,native,,,,,,,,,,,,,,,,,,,,,,,
Carex pellita,native,,,,,,,,,,,,,,,,,,,,,,,
Carex pelocarpa,native,,,,,,,,,,,,,,,,,,,,,,,
Carex pensylvanica,native,,,,,,,,,,,,,,,,,,,,,,,
Carex perdentata,native,,,,,,,,,,,,,,,,,,,,,,,
Carex perglobosa,native,,,,,,,,,,,,,,,,,,,,,,,
Carex persalina,native,,,,,,,,,,,,,,,,,,,,,,,
Carex petasata,native,,,,,,,,,,,,,,,,,,,,,,,
Carex petricosa,native,,,,,,,,,,,,,,,,,,,,,,,
Carex petricosa var. misandroides,native,,,,,,,,,,,,,,,,,,,,,,,
Carex petricosa var. petricosa,native,,,,,,,,,,,,,,,,,,,,,,,
Carex phaeocephala,native,,,,,,,,,,,,,,,,,,,,,,,
Carex physocarpoides,native,,,,,,,,,,,,,,,,,,,,,,,
Carex picta,native,,,,,,,,,,,,,,,,,,,,,,,
Carex pieperiana,native,,,,,,,,,,,,,,,,,,,,,,,
Carex pigra,native,,,,,,,,,,,,,,,,,,,,,,,
Carex piperi,native,,,,,,,,,,,,,,,,,,,,,,,
Carex pityophila,native,,,,,,,,,,,,,,,,,,,,,,,
Carex planispicata,native,,,,,,,,,,,,,,,,,,,,,,,
Carex planostachys,native,,,,,,,,,,,,,,,,,,,,,,,
Carex plantaginea,native,,,,,,,,,,,,,,,,,,,,,,,
Carex platylepis,native,,,,,,,,,,,,,,,,,,,,,,,
Carex platyphylla,native,,,,,,,,,,,,,,,,,,,,,,,
Carex pluriflora,native,,,,,,,,,,,,,,,,,,,,,,,
Carex podocarpa,native,,,,,,,,,,,,,,,,,,,,,,,
