scrubbed_species_binomial,trait_name,trait_value,unit,method,latitude,longitude,elevation_m,url_source,project_pi,project_pi_contact,access,id
Bromus tectorum,leaf area per leaf dry mass,26.89,m2.kg-1,"The same leaves used to calculate leaf area were used to calculate SLA, which is the ratio between the surface of the leaf (including the petiole) and its oven-dry weight.",40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15706249
Bromus tectorum,seed mass,2.995,mg,data compilation; average of 1000 seeds,NA,NA,NA,http://www.kew.org/data/sid ,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.",sid@kew.org ,public,533343
Bromus tectorum,leaf area per leaf dry mass,34.77,m2.kg-1,area/dry mass (Cornelissen et al. 2003),NA,NA,NA,http://www.leda-traitbase.org/LEDAportal/,Michael Kleyer,michael.kleyer@uni-oldenburg.de,public,15963942
Bromus tectorum,leaf area per leaf dry mass,23.594,m2.kg-1,"The same leaves used to calculate leaf area were used to calculate SLA, which is the ratio between the surface of the leaf (including the petiole) and its oven-dry weight.",40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15706256
Bromus tectorum,whole plant growth form,Herb,NA,Species with multiple growth form classifications were assigned the growth form classification agreed upon by the majority (>2/3) of sources. Species with ambiguous or otherwise not interpretable growth form assignments were excluded from the final dataset but are made available with the original data.,NA,NA,NA,http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Engemann, K",engemann@bios.au.dk,public,14657950
Bromus tectorum,plant flowering begin,6,month,first-flowering time,NA,NA,NA,NA,Steven Travers,steven.travers@ndsu.edu,public,15863760
Bromus tectorum,leaf area per leaf dry mass,24.954,m2.kg-1,"The same leaves used to calculate leaf area were used to calculate SLA, which is the ratio between the surface of the leaf (including the petiole) and its oven-dry weight.",40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15706253
Bromus tectorum,seed mass,2.04,mg,data compilation; average of 1000 seeds,NA,NA,NA,http://www.kew.org/data/sid ,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.",sid@kew.org ,public,533360
Bromus tectorum,leaf area per leaf dry mass,30.827,m2.kg-1,"The same leaves used to calculate leaf area were used to calculate SLA, which is the ratio between the surface of the leaf (including the petiole) and its oven-dry weight.",40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15706248
Bromus tectorum,whole plant height,0.4,m,actual measurement (following LEDA data standards) - maximum height,NA,NA,NA,http://www.leda-traitbase.org/LEDAportal/,Michael Kleyer,michael.kleyer@uni-oldenburg.de,public,15963402
Bromus tectorum,whole plant height,0.2,m,actual measurement (following LEDA data standards) - maximum height,NA,NA,NA,http://www.leda-traitbase.org/LEDAportal/,Michael Kleyer,michael.kleyer@uni-oldenburg.de,public,15963936
Bromus tectorum,leaf dry mass per leaf fresh mass,155.1,mg.g-1,laboratory/greenhouse/garden experiment; rehydration status unknown,NA,NA,NA,http://www.leda-traitbase.org/LEDAportal/,Michael Kleyer,michael.kleyer@uni-oldenburg.de,public,15963400
Bromus tectorum,seed mass,1.83,mg,data compilation; average of 1000 seeds,NA,NA,NA,http://www.kew.org/data/sid ,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.",sid@kew.org ,public,604435
Bromus tectorum,leaf dry mass,0.01968,g,actual measurement,NA,NA,NA,http://www.leda-traitbase.org/LEDAportal/,Michael Kleyer,michael.kleyer@uni-oldenburg.de,public,15963934
Bromus tectorum,leaf area,139,mm2,measured on two randomly selected leafs of each of the selected individuals of each species and quadrat,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15706168
Bromus tectorum,whole plant height,0.884211,m,"These measurements are taken from of a larger dataset assembled by Cornwell. Cornwell, W.K., Westoby, M., Falster, D.S. et al. (2014) Functional distinctiveness of major plant lineages. Journal of Ecology, 102, 345Â356.",NA,NA,NA,http://datadryad.org/resource/doi:10.5061/dryad.m88g7,Marx HE,h.marx.h@gmail.com,public,15706155
Bromus tectorum,whole plant height,0.17,m,NA,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15373156
Bromus tectorum,leaf dry mass,0.03096,g,actual measurement,NA,NA,NA,http://www.leda-traitbase.org/LEDAportal/,Michael Kleyer,michael.kleyer@uni-oldenburg.de,public,1321994
Bromus tectorum,seed mass,2.6,mg,data compilation; average of 1000 seeds,NA,NA,NA,http://www.kew.org/data/sid ,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.",sid@kew.org ,public,533367
Bromus tectorum,whole plant woodiness,herbaceous,NA,NA,NA,NA,NA,http://datadryad.org/resource/doi:10.5061/dryad.63q27.2,Zanne AE,aezanne@gmail.com,public,15809617
Bromus tectorum,leaf area,146.9,mm2,measured on two randomly selected leafs of each of the selected individuals of each species and quadrat,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15706171
Bromus tectorum,seed mass,1.83,mg,data compilation; average of 1000 seeds,NA,NA,NA,http://www.kew.org/data/sid ,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.",sid@kew.org ,public,533361
Bromus tectorum,leaf dry mass per leaf fresh mass,151.45,mg.g-1,laboratory/greenhouse/garden experiment; rehydration status unknown,NA,NA,NA,http://www.leda-traitbase.org/LEDAportal/,Michael Kleyer,michael.kleyer@uni-oldenburg.de,public,15963397
Bromus tectorum,whole plant height,0.13,m,NA,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15868268
Bromus tectorum,leaf area per leaf dry mass,39.01,m2.kg-1,area/dry mass (Cornelissen et al. 2003),NA,NA,NA,http://www.leda-traitbase.org/LEDAportal/,Michael Kleyer,michael.kleyer@uni-oldenburg.de,public,15963941
Bromus tectorum,whole plant height,0.29,m,NA,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15373155
Bromus tectorum,leaf area per leaf dry mass,36.842,m2.kg-1,"The same leaves used to calculate leaf area were used to calculate SLA, which is the ratio between the surface of the leaf (including the petiole) and its oven-dry weight.",40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15706250
Bromus tectorum,seed mass,3.65,mg,data compilation; average of 1000 seeds,NA,NA,NA,http://www.kew.org/data/sid ,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.",sid@kew.org ,public,533347
Bromus tectorum,leaf area per leaf dry mass,32.401,m2.kg-1,"The same leaves used to calculate leaf area were used to calculate SLA, which is the ratio between the surface of the leaf (including the petiole) and its oven-dry weight.",40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15706252
Bromus tectorum,leaf area per leaf dry mass,25.909,m2.kg-1,"The same leaves used to calculate leaf area were used to calculate SLA, which is the ratio between the surface of the leaf (including the petiole) and its oven-dry weight.",40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15706246
Bromus tectorum,whole plant height,0.14,m,NA,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15373158
Bromus tectorum,seed mass,1.372,mg,data compilation; average of 1000 seeds,NA,NA,NA,http://www.kew.org/data/sid ,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.",sid@kew.org ,public,432366
Bromus tectorum,leaf area,179.6,mm2,measured on two randomly selected leafs of each of the selected individuals of each species and quadrat,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15706174
Bromus tectorum,leaf area per leaf dry mass,29.23,m2.kg-1,area/dry mass (Cornelissen et al. 2003),NA,NA,NA,http://www.leda-traitbase.org/LEDAportal/,Michael Kleyer,michael.kleyer@uni-oldenburg.de,public,15963939
Bromus tectorum,leaf area,724,mm2,actual measurement,NA,NA,NA,http://www.leda-traitbase.org/LEDAportal/,D.K. Kunzmann,dkunzmann@gmx.de,public,15976598
Bromus tectorum,whole plant height,0.23,m,NA,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15704901
Bromus tectorum,plant flowering begin,6/4/1960,date,first-flowering time,NA,NA,NA,NA,Steven Travers,steven.travers@ndsu.edu,public,15382737
Bromus tectorum,leaf area per leaf dry mass,22.98,m2.kg-1,"The same leaves used to calculate leaf area were used to calculate SLA, which is the ratio between the surface of the leaf (including the petiole) and its oven-dry weight.",40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15706251
Bromus tectorum,leaf area,220.25,mm2,measured on two randomly selected leafs of each of the selected individuals of each species and quadrat,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15706176
Bromus tectorum,seed mass,3.27,mg,data compilation; average of 1000 seeds,NA,NA,NA,http://www.kew.org/data/sid ,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.",sid@kew.org ,public,533349
Bromus tectorum,leaf area,125.9,mm2,measured on two randomly selected leafs of each of the selected individuals of each species and quadrat,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15706163
Bromus tectorum,whole plant height,0.19,m,NA,40.6,-3.75,NA,http://datadryad.org/resource/doi:10.5061/dryad.53550,Carmona CP,carlos.perez@uam.es,public,15869199
Imperata cylindrica,leaf area per leaf dry mass,18.182,m2.kg-1,NA,36.07,108.53,1353,http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2,Maire V,vmaire@gmail.com,public,14861721
Imperata cylindrica,stem dry mass,4.39E-06,kg,NA,NA,NA,NA,http://datadryad.org/resource/doi:10.5061/dryad.16860,Osborne CP,c.p.osborne@sheffield.ac.uk,public,15292019
Imperata cylindrica,leaf fresh mass,0.03,g,NA,NA,NA,NA,http://datadryad.org/resource/doi:10.5061/dryad.16860,Osborne CP,c.p.osborne@sheffield.ac.uk,public,15292000
Imperata cylindrica,leaf fresh mass,0.0135,g,NA,NA,NA,NA,http://datadryad.org/resource/doi:10.5061/dryad.16860,Osborne CP,c.p.osborne@sheffield.ac.uk,public,15292001
Imperata cylindrica,root dry mass,0.00079,g,NA,NA,NA,NA,http://datadryad.org/resource/doi:10.5061/dryad.16860,Osborne CP,c.p.osborne@sheffield.ac.uk,public,15292014
Imperata cylindrica,leaf nitrogen content per leaf dry mass,12.9,mg.g-1,NA,36.77,109.25,1125,http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2,Maire V,vmaire@gmail.com,public,14861724
Imperata cylindrica,leaf photosynthetic rate per leaf dry mass,0.22018402,Âµmol.g-1.s-1,NA,36.07,108.53,1353,http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2,Maire V,vmaire@gmail.com,public,14861717
Imperata cylindrica,leaf phosphorus content per leaf dry mass,0.316,mg.g-1,"phosphorus molybdenum blues photometry(Piper, 1947)",31,110,NA,doi: 10.1111/j.1469-8137.2005.01530.x,J. Fang,jyfang@urban.pku.edu.cn,public,15823215
Imperata cylindrica,seed mass,0.116,mg,data compilation; average of 1000 seeds,NA,NA,NA,http://www.kew.org/data/sid ,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.",sid@kew.org ,public,478419
Imperata cylindrica,leaf dry mass,0.0212,g,NA,NA,NA,NA,http://datadryad.org/resource/doi:10.5061/dryad.16860,Osborne CP,c.p.osborne@sheffield.ac.uk,public,15292006
Imperata cylindrica,leaf dry mass,0.004,g,NA,NA,NA,NA,http://datadryad.org/resource/doi:10.5061/dryad.16860,Osborne CP,c.p.osborne@sheffield.ac.uk,public,15292009
Imperata cylindrica,root dry mass,0.00262,g,NA,NA,NA,NA,http://datadryad.org/resource/doi:10.5061/dryad.16860,Osborne CP,c.p.osborne@sheffield.ac.uk,public,15292015
Imperata cylindrica,leaf photosynthetic rate per leaf dry mass,0.30383941,Âµmol.g-1.s-1,NA,36.77,109.25,1125,http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2,Maire V,vmaire@gmail.com,public,14861718
Imperata cylindrica,leaf dry mass,0.00135,g,NA,NA,NA,NA,http://datadryad.org/resource/doi:10.5061/dryad.16860,Osborne CP,c.p.osborne@sheffield.ac.uk,public,15292008
Imperata cylindrica,leaf dry mass,0.0071,g,NA,NA,NA,NA,http://datadryad.org/resource/doi:10.5061/dryad.16860,Osborne CP,c.p.osborne@sheffield.ac.uk,public,15291999
Imperata cylindrica,stem dry mass,4.30E-07,kg,NA,NA,NA,NA,http://datadryad.org/resource/doi:10.5061/dryad.16860,Osborne CP,c.p.osborne@sheffield.ac.uk,public,15292018
Imperata cylindrica,whole plant growth form,Herb,NA,Species with multiple growth form classifications were assigned the growth form classification agreed upon by the majority (>2/3) of sources. Species with ambiguous or otherwise not interpretable growth form assignments were excluded from the final dataset but are made available with the original data.,NA,NA,NA,http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Engemann, K",engemann@bios.au.dk,public,14663941
Imperata cylindrica,whole plant growth form,grass,NA,NA,NA,NA,NA,https://springerplus.springeropen.com/articles/10.1186/s40064-015-0961-3,Nampanzira DK,dnampanzira@gmail.com,public,1865896
Imperata cylindrica,whole plant growth form diversity,Herb,NA,Species with multiple growth form classifications were assigned the growth form classification agreed upon by the majority (>2/3) of sources. Species with ambiguous or otherwise not interpretable growth form assignments were excluded from the final dataset but are made available with the original data.,NA,NA,NA,http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Engemann, K",engemann@bios.au.dk,public,14663923
Imperata cylindrica,leaf photosynthetic rate per leaf area,18.23,Âµmol.m-2.s-1,NA,36.77,109.25,1125,http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2,Maire V,vmaire@gmail.com,public,14861720
Imperata cylindrica,whole plant growth form,Herb,NA,Species with multiple growth form classifications were assigned the growth form classification agreed upon by the majority (>2/3) of sources. Species with ambiguous or otherwise not interpretable growth form assignments were excluded from the final dataset but are made available with the original data.,NA,NA,NA,http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Engemann, K",engemann@bios.au.dk,public,14663917
Imperata cylindrica,leaf fresh mass,0.0073,g,NA,NA,NA,NA,http://datadryad.org/resource/doi:10.5061/dryad.16860,Osborne CP,c.p.osborne@sheffield.ac.uk,public,15292005
Imperata cylindrica,leaf nitrogen content per leaf area,0.00081,kg.m-2,NA,36.07,108.53,1353,http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2,Maire V,vmaire@gmail.com,public,14861725
Imperata cylindrica,whole plant growth form diversity,Herb,NA,Species with multiple growth form classifications were assigned the growth form classification agreed upon by the majority (>2/3) of sources. Species with ambiguous or otherwise not interpretable growth form assignments were excluded from the final dataset but are made available with the original data.,NA,NA,NA,http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Engemann, K",engemann@bios.au.dk,public,14663939
Imperata cylindrica,leaf photosynthetic rate per leaf area,12.11,Âµmol.m-2.s-1,NA,36.07,108.53,1353,http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2,Maire V,vmaire@gmail.com,public,14861719
Imperata cylindrica,root dry mass,0.00448,g,NA,NA,NA,NA,http://datadryad.org/resource/doi:10.5061/dryad.16860,Osborne CP,c.p.osborne@sheffield.ac.uk,public,15292013
Imperata cylindrica,stem dry mass,1.10E-07,kg,NA,NA,NA,NA,http://datadryad.org/resource/doi:10.5061/dryad.16860,Osborne CP,c.p.osborne@sheffield.ac.uk,public,15292016
Imperata cylindrica,stem dry mass,8.00E-07,kg,NA,NA,NA,NA,http://datadryad.org/resource/doi:10.5061/dryad.16860,Osborne CP,c.p.osborne@sheffield.ac.uk,public,15292021
Imperata cylindrica,whole plant growth form,Grass,NA,NA,NA,NA,NA,NA,Angela Moles,a.moles@unsw.edu.au,public,2039244
Imperata cylindrica,leaf phosphorus content per leaf dry mass,1.9,mg.g-1,phosphorus molybdenum blues spectrophotometric methods,19.1,109.83,NA,doi: 10.1111/j.1469-8137.2005.01530.x,J. Fang,jyfang@urban.pku.edu.cn,public,15823217
Imperata cylindrica,leaf area,311.36,mm2,"WinDIAS Image Analysis System, Delta-T Devices, Cambridge, UK",NA,NA,NA,http://datadryad.org/resource/doi:10.5061/dryad.16860,Osborne CP,c.p.osborne@sheffield.ac.uk,public,15292025
Imperata cylindrica,leaf area,30.89,mm2,"WinDIAS Image Analysis System, Delta-T Devices, Cambridge, UK",NA,NA,NA,http://datadryad.org/resource/doi:10.5061/dryad.16860,Osborne CP,c.p.osborne@sheffield.ac.uk,public,15292024
Imperata cylindrica,root dry mass,0.02431,g,NA,NA,NA,NA,http://datadryad.org/resource/doi:10.5061/dryad.16860,Osborne CP,c.p.osborne@sheffield.ac.uk,public,15292011
Imperata cylindrica,maximum whole plant height,0.8,m,NA,NA,NA,NA,NA,Angela Moles,a.moles@unsw.edu.au,public,2036002
Imperata cylindrica,leaf carbon content per leaf nitrogen content,8.092,NA,NA,36.77,109.25,1125,http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2,Maire V,vmaire@gmail.com,public,14861716
Imperata cylindrica,root dry mass,8.00E-05,g,NA,NA,NA,NA,http://datadryad.org/resource/doi:10.5061/dryad.16860,Osborne CP,c.p.osborne@sheffield.ac.uk,public,15292010
Imperata cylindrica,stem dry mass,1.06E-06,kg,NA,NA,NA,NA,http://datadryad.org/resource/doi:10.5061/dryad.16860,Osborne CP,c.p.osborne@sheffield.ac.uk,public,15292020
Imperata cylindrica,leaf dry mass,0.00039,g,NA,NA,NA,NA,http://datadryad.org/resource/doi:10.5061/dryad.16860,Osborne CP,c.p.osborne@sheffield.ac.uk,public,15291998
Imperata cylindrica,leaf area,41.54,mm2,"WinDIAS Image Analysis System, Delta-T Devices, Cambridge, UK",NA,NA,NA,http://datadryad.org/resource/doi:10.5061/dryad.16860,Osborne CP,c.p.osborne@sheffield.ac.uk,public,15292026
Imperata cylindrica,leaf area per leaf dry mass,16.667,m2.kg-1,NA,36.77,109.25,1125,http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2,Maire V,vmaire@gmail.com,public,14861722
Imperata cylindrica,leaf fresh mass,0.0044,g,NA,NA,NA,NA,http://datadryad.org/resource/doi:10.5061/dryad.16860,Osborne CP,c.p.osborne@sheffield.ac.uk,public,15292004
Imperata cylindrica,leaf area,5.6,mm2,"WinDIAS Image Analysis System, Delta-T Devices, Cambridge, UK",NA,NA,NA,http://datadryad.org/resource/doi:10.5061/dryad.16860,Osborne CP,c.p.osborne@sheffield.ac.uk,public,15292022
Imperata cylindrica,leaf fresh mass,0.0011,g,NA,NA,NA,NA,http://datadryad.org/resource/doi:10.5061/dryad.16860,Osborne CP,c.p.osborne@sheffield.ac.uk,public,15292002
Imperata cylindrica,leaf nitrogen content per leaf area,0.00078,kg.m-2,NA,36.77,109.25,1125,http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2,Maire V,vmaire@gmail.com,public,14861723
Imperata cylindrica,leaf area,812.1,mm2,"WinDIAS Image Analysis System, Delta-T Devices, Cambridge, UK",NA,NA,NA,http://datadryad.org/resource/doi:10.5061/dryad.16860,Osborne CP,c.p.osborne@sheffield.ac.uk,public,15292023
Imperata cylindrica,whole plant woodiness,herbaceous,NA,NA,NA,NA,NA,http://datadryad.org/resource/doi:10.5061/dryad.63q27.2,Zanne AE,aezanne@gmail.com,public,15747341
Imperata cylindrica,leaf area,58.2,mm2,"WinDIAS Image Analysis System, Delta-T Devices, Cambridge, UK",NA,NA,NA,http://datadryad.org/resource/doi:10.5061/dryad.16860,Osborne CP,c.p.osborne@sheffield.ac.uk,public,15292027
Imperata cylindrica,leaf nitrogen content per leaf dry mass,6.25,mg.g-1,Nessler's reagent colorimetric method ,19.1,109.83,NA,doi: 10.1111/j.1469-8137.2005.01530.x,J. Fang,jyfang@urban.pku.edu.cn,public,15819575
Imperata cylindrica,stem dry mass,1.51E-05,kg,NA,NA,NA,NA,http://datadryad.org/resource/doi:10.5061/dryad.16860,Osborne CP,c.p.osborne@sheffield.ac.uk,public,15292017
Imperata cylindrica,leaf fresh mass,0.0956,g,NA,NA,NA,NA,http://datadryad.org/resource/doi:10.5061/dryad.16860,Osborne CP,c.p.osborne@sheffield.ac.uk,public,15292003
Imperata cylindrica,root dry mass,0.00046,g,NA,NA,NA,NA,http://datadryad.org/resource/doi:10.5061/dryad.16860,Osborne CP,c.p.osborne@sheffield.ac.uk,public,15292012
Imperata cylindrica,leaf carbon content per leaf nitrogen content,8.092,NA,NA,36.07,108.53,1353,http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2,Maire V,vmaire@gmail.com,public,14861715
Imperata cylindrica,leaf nitrogen content per leaf dry mass,14.7,mg.g-1,NA,36.07,108.53,1353,http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2,Maire V,vmaire@gmail.com,public,14864039
Imperata cylindrica,leaf dry mass,0.00106,g,NA,NA,NA,NA,http://datadryad.org/resource/doi:10.5061/dryad.16860,Osborne CP,c.p.osborne@sheffield.ac.uk,public,15292007
Microstegium vimineum,leaf dry mass,0.001,g,NA,NA,NA,NA,http://datadryad.org/resource/doi:10.5061/dryad.16860,Osborne CP,c.p.osborne@sheffield.ac.uk,public,15342965
Microstegium vimineum,leaf area,6637.01,mm2,"WinDIAS Image Analysis System, Delta-T Devices, Cambridge, UK",NA,NA,NA,http://datadryad.org/resource/doi:10.5061/dryad.16860,Osborne CP,c.p.osborne@sheffield.ac.uk,public,15343067
Microstegium vimineum,root dry mass,0.24621,g,NA,NA,NA,NA,http://datadryad.org/resource/doi:10.5061/dryad.16860,Osborne CP,c.p.osborne@sheffield.ac.uk,public,15342968
Microstegium vimineum,leaf fresh mass,0.00156,g,NA,NA,NA,NA,http://datadryad.org/resource/doi:10.5061/dryad.16860,Osborne CP,c.p.osborne@sheffield.ac.uk,public,15342960
Microstegium vimineum,root dry mass,0.00074,g,NA,NA,NA,NA,http://datadryad.org/resource/doi:10.5061/dryad.16860,Osborne CP,c.p.osborne@sheffield.ac.uk,public,15342970
Microstegium vimineum,stem dry mass,3.58E-05,kg,NA,NA,NA,NA,http://datadryad.org/resource/doi:10.5061/dryad.16860,Osborne CP,c.p.osborne@sheffield.ac.uk,public,15342973
Microstegium vimineum,leaf area,65.29,mm2,"WinDIAS Image Analysis System, Delta-T Devices, Cambridge, UK",NA,NA,NA,http://datadryad.org/resource/doi:10.5061/dryad.16860,Osborne CP,c.p.osborne@sheffield.ac.uk,public,15881564
Microstegium vimineum,leaf dry mass,0.2282,g,NA,NA,NA,NA,http://datadryad.org/resource/doi:10.5061/dryad.16860,Osborne CP,c.p.osborne@sheffield.ac.uk,public,15342962
Microstegium vimineum,leaf fresh mass,0.8509,g,NA,NA,NA,NA,http://datadryad.org/resource/doi:10.5061/dryad.16860,Osborne CP,c.p.osborne@sheffield.ac.uk,public,15342961
Microstegium vimineum,stem dry mass,0.00016546,kg,NA,NA,NA,NA,http://datadryad.org/resource/doi:10.5061/dryad.16860,Osborne CP,c.p.osborne@sheffield.ac.uk,public,15342974
Microstegium vimineum,whole plant growth form,Herb,NA,Species with multiple growth form classifications were assigned the growth form classification agreed upon by the majority (>2/3) of sources. Species with ambiguous or otherwise not interpretable growth form assignments were excluded from the final dataset but are made available with the original data.,NA,NA,NA,http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Engemann, K",engemann@bios.au.dk,public,14672210
Microstegium vimineum,leaf fresh mass,1.0742,g,NA,NA,NA,NA,http://datadryad.org/resource/doi:10.5061/dryad.16860,Osborne CP,c.p.osborne@sheffield.ac.uk,public,15342947
Microstegium vimineum,leaf area,5711.75,mm2,"WinDIAS Image Analysis System, Delta-T Devices, Cambridge, UK",NA,NA,NA,http://datadryad.org/resource/doi:10.5061/dryad.16860,Osborne CP,c.p.osborne@sheffield.ac.uk,public,15343069
Microstegium vimineum,root dry mass,0.0483,g,NA,NA,NA,NA,http://datadryad.org/resource/doi:10.5061/dryad.16860,Osborne CP,c.p.osborne@sheffield.ac.uk,public,15342967
Microstegium vimineum,stem dry mass,6.00E-08,kg,NA,NA,NA,NA,http://datadryad.org/resource/doi:10.5061/dryad.16860,Osborne CP,c.p.osborne@sheffield.ac.uk,public,15343064
Microstegium vimineum,leaf dry mass,0.0571,g,NA,NA,NA,NA,http://datadryad.org/resource/doi:10.5061/dryad.16860,Osborne CP,c.p.osborne@sheffield.ac.uk,public,15342958
Microstegium vimineum,leaf dry mass,0.1488,g,NA,NA,NA,NA,http://datadryad.org/resource/doi:10.5061/dryad.16860,Osborne CP,c.p.osborne@sheffield.ac.uk,public,15342966
Microstegium vimineum,leaf dry mass,0.00137,g,NA,NA,NA,NA,http://datadryad.org/resource/doi:10.5061/dryad.16860,Osborne CP,c.p.osborne@sheffield.ac.uk,public,15342963
Microstegium vimineum,leaf area,2051.15,mm2,"WinDIAS Image Analysis System, Delta-T Devices, Cambridge, UK",NA,NA,NA,http://datadryad.org/resource/doi:10.5061/dryad.16860,Osborne CP,c.p.osborne@sheffield.ac.uk,public,15343066
Microstegium vimineum,leaf fresh mass,0.3414,g,NA,NA,NA,NA,http://datadryad.org/resource/doi:10.5061/dryad.16860,Osborne CP,c.p.osborne@sheffield.ac.uk,public,15342954
Microstegium vimineum,whole plant woodiness,herbaceous,NA,NA,NA,NA,NA,http://datadryad.org/resource/doi:10.5061/dryad.63q27.2,Zanne AE,aezanne@gmail.com,public,15757400
Microstegium vimineum,root dry mass,0.1181,g,NA,NA,NA,NA,http://datadryad.org/resource/doi:10.5061/dryad.16860,Osborne CP,c.p.osborne@sheffield.ac.uk,public,15342971
Microstegium vimineum,leaf fresh mass,0.01,g,NA,NA,NA,NA,http://datadryad.org/resource/doi:10.5061/dryad.16860,Osborne CP,c.p.osborne@sheffield.ac.uk,public,15342957
Microstegium vimineum,leaf area,16.87,mm2,"WinDIAS Image Analysis System, Delta-T Devices, Cambridge, UK",NA,NA,NA,http://datadryad.org/resource/doi:10.5061/dryad.16860,Osborne CP,c.p.osborne@sheffield.ac.uk,public,15343068
Microstegium vimineum,stem dry mass,2.50E-07,kg,NA,NA,NA,NA,http://datadryad.org/resource/doi:10.5061/dryad.16860,Osborne CP,c.p.osborne@sheffield.ac.uk,public,15343063
Microstegium vimineum,whole plant growth form diversity,Herb,NA,Species with multiple growth form classifications were assigned the growth form classification agreed upon by the majority (>2/3) of sources. Species with ambiguous or otherwise not interpretable growth form assignments were excluded from the final dataset but are made available with the original data.,NA,NA,NA,http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Engemann, K",engemann@bios.au.dk,public,14672211
Microstegium vimineum,root dry mass,0.0013,g,NA,NA,NA,NA,http://datadryad.org/resource/doi:10.5061/dryad.16860,Osborne CP,c.p.osborne@sheffield.ac.uk,public,15342969
Microstegium vimineum,stem dry mass,9.28E-05,kg,NA,NA,NA,NA,http://datadryad.org/resource/doi:10.5061/dryad.16860,Osborne CP,c.p.osborne@sheffield.ac.uk,public,15343065
